Class,Section,Term,Size,GPA,A%,B%,C%,D%,F%,W%,Teacher
CS 7642,O03,Fall 2017,Very Large (>50 students),3.39,42.2,15.2,4.3,3.8,1.4,33.2,Charles Isbell
CS 7642,O03,Fall 2018,Very Large (>50 students),3.44,42.5,19.1,1.4,1.7,2.8,32.6,Charles Isbell
CS 7642,O03,Fall 2019,Very Large (>50 students),3.47,43.2,22.2,2.5,0.4,2.2,29.2,Charles Isbell
CS 7642,O03,Fall 2020,Very Large (>50 students),3.55,44.3,19.6,2.2,0.9,1.1,32,Charles Isbell
CS 7642,O03,Spring 2018,Very Large (>50 students),3.43,46.9,17.5,3,4,1.6,27.1,Charles Isbell
CS 7642,O03,Spring 2019,Very Large (>50 students),3.48,46.8,25.1,3.2,0.8,1.6,22.5,Charles Isbell
CS 7642,O03,Spring 2020,Very Large (>50 students),3.58,45,23.3,1.9,0,0.6,29.3,Charles Isbell
CS 7642,OAN,Spring 2020,Large (31-49 students),3.7,50,21,0,0,0,29,Charles Isbell
CS 7642,O01,Spring 2021,Very Large (>50 students),3.49,42.3,26,1.7,1.4,0.9,25.7,Charles Isbell
CS 7642,OAN,Spring 2021,Very Large (>50 students),3.38,43.5,31.9,1.4,1.4,2.9,17.4,Charles Isbell
CS 7642,R,Spring 2021,Very Small (<10 students),3.5,50,50,0,0,0,0,Charles Isbell
CS 7642,O03,Summer 2017,Very Large (>50 students),3.63,54.8,23.3,2.5,0.7,0,18.6,Charles Isbell
CS 7642,O03,Summer 2018,Very Large (>50 students),3.49,50.2,22.6,2.4,1.8,1.8,21.4,Charles Isbell
CS 7642,O03,Summer 2019,Very Large (>50 students),3.53,47.3,25.5,2.7,0.3,1.1,22.6,Charles Isbell
CS 7642,O03,Summer 2020,Very Large (>50 students),3.55,47,24.8,2.1,0.7,0.7,24.6,Charles Isbell
CS 7641,O01,Fall 2014,Very Large (>50 students),3.29,33.7,19.3,1.6,4.8,1.6,39,Charles Isbell
CS 7641,O01,Fall 2015,Very Large (>50 students),3.54,39.8,13.1,1.4,1.7,1.4,42.6,Charles Isbell
CS 7641,O01,Fall 2016,Very Large (>50 students),3.52,38.2,15.3,4.3,0.5,0.8,41,Charles Isbell
CS 7641,O3,Fall 2016,Very Small (<10 students),4,100,0,0,0,0,0,Charles Isbell
CS 7641,O01,Fall 2017,Very Large (>50 students),3.54,37.8,17.7,2.2,0.3,1,40.9,Charles Isbell
CS 7641,O3,Fall 2017,Very Small (<10 students),3.5,50,50,0,0,0,0,Charles Isbell
CS 7641,OAN,Fall 2017,Small (10-20 students),4,41.7,0,0,0,0,58.3,Charles Isbell
CS 7641,O01,Fall 2018,Very Large (>50 students),3.48,35.6,26.8,1.1,0.5,0.8,35.2,Charles Isbell
CS 7641,O3,Fall 2018,Small (10-20 students),3.82,64.3,14.3,0,0,0,21.4,Charles Isbell
CS 7641,OAN,Fall 2018,Very Large (>50 students),3.53,41.8,23.5,3.1,1,0,30.6,Charles Isbell
CS 7641,O01,Fall 2019,Very Large (>50 students),3.39,30.4,23,4.7,0.5,0.5,40.5,Charles Isbell
CS 7641,O3,Fall 2019,Small (10-20 students),3.85,73.3,13.3,0,0,0,13.3,Charles Isbell
CS 7641,O01,Fall 2020,Very Large (>50 students),3.39,32.2,25.8,3.4,1.1,0.6,37,Charles Isbell
CS 7641,O3,Fall 2020,Small (10-20 students),4,58.3,0,0,0,0,41.7,Charles Isbell
CS 7641,R,Fall 2020,Very Small (<10 students),4,100,0,0,0,0,0,Charles Isbell
CS 7641,R2,Fall 2020,Very Small (<10 students),3,0,100,0,0,0,0,Charles Isbell
CS 7641,A,Spring 2011,Large (31-49 students),3.71,64.1,20.5,2.6,0,0,7.7,Charles Isbell
CS 7641,O01,Spring 2014,Very Large (>50 students),3.53,37.9,16.3,1.3,2,0.6,41.8,Charles Isbell
CS 7641,O01,Spring 2015,Very Large (>50 students),3.56,40.8,12.5,3,2,0.3,41.4,Charles Isbell
CS 7641,O01,Spring 2016,Very Large (>50 students),3.53,41.1,15.1,4.2,1.1,0.6,38,Charles Isbell
CS 7641,O3,Spring 2016,Very Small (<10 students),3.56,77.8,11.1,0,11.1,0,0,Charles Isbell
CS 7641,A,Spring 2017,Very Large (>50 students),3.68,60.6,28.2,0,0,0,9.9,Charles Isbell
CS 7641,O01,Spring 2017,Very Large (>50 students),3.56,40.3,19.8,0.8,0.4,1.3,37.4,Charles Isbell
CS 7641,O3,Spring 2017,Very Small (<10 students),3.71,71.4,28.6,0,0,0,0,Charles Isbell
CS 7641,A,Spring 2018,Very Large (>50 students),3.81,76.9,16.2,0.8,0,0,3.8,Charles Isbell
CS 7641,O01,Spring 2018,Very Large (>50 students),3.58,44.1,23,0.8,0.2,1,31,Charles Isbell
CS 7641,O3,Spring 2018,Small (10-20 students),3.57,40,30,0,0,0,30,Charles Isbell
CS 7641,OAN,Spring 2018,Large (31-49 students),3.56,34.8,15.2,4.4,0,0,45.6,Charles Isbell
CS 7641,A,Spring 2019,Very Large (>50 students),3.6,56.2,33.6,1.4,0,0,3.4,Charles Isbell
CS 7641,O01,Spring 2019,Very Large (>50 students),3.47,37.5,26.6,2.6,0.3,0.8,32.2,Charles Isbell
CS 7641,O3,Spring 2019,Small (10-20 students),3.6,60,40,0,0,0,0,Charles Isbell
CS 7641,OAN,Spring 2019,Very Large (>50 students),3.52,50,31.4,2.9,1.4,0,14.3,Charles Isbell
CS 7641,O01,Spring 2020,Very Large (>50 students),3.59,38.9,23.4,0.8,0.3,0.1,36.4,Charles Isbell
CS 7641,O3,Spring 2020,Small (10-20 students),3.06,31.6,42.1,15.8,5.3,0,5.3,Charles Isbell
CS 7641,O01,Spring 2021,Very Large (>50 students),3.35,32.3,27.5,4,1,1.1,33.7,Charles Isbell
CS 7641,O3,Spring 2021,Very Small (<10 students),2.5,0,50,0,16.7,0,33.3,Charles Isbell
CS 7641,A,Summer 2011,Very Small (<10 students),3,0,100,0,0,0,0,Charles Isbell
CS 7641,QSA,Summer 2018,Large (31-49 students),3.53,67.6,23.5,5.9,0,2.9,0,Charles Isbell
CS 6035,A,Fall 2014,Mid-Size (21-30 students),3.97,96.7,3.3,0,0,0,0,Wenke Lee
CS 6035,Q,Fall 2014,Very Small (<10 students),4,100,0,0,0,0,0,Wenke Lee
CS 6035,A,Fall 2015,Small (10-20 students),3.86,85.7,14.3,0,0,0,0,Wenke Lee
CS 6035,O01,Fall 2015,Very Large (>50 students),3.52,51.4,39.6,2.4,0,0,6.5,Wenke Lee
CS 6035,A,Fall 2016,Small (10-20 students),4,92.3,0,0,0,0,7.7,Wenke Lee
CS 6035,O01,Fall 2016,Very Large (>50 students),3.71,69.9,9.8,3.4,0,2.1,14.8,Wenke Lee
CS 6035,A,Fall 2017,Large (31-49 students),3.87,92.1,2.6,5.3,0,0,0,Wenke Lee
CS 6035,O01,Fall 2017,Very Large (>50 students),3.64,63.7,16.1,2.8,1.1,1.5,14.9,Wenke Lee
CS 6035,O01,Fall 2018,Very Large (>50 students),3.51,56.8,19.7,3,1.1,2.9,16.5,Wenke Lee
CS 6035,O01,Fall 2019,Very Large (>50 students),3.21,34.2,31.3,6.2,1.8,2.8,22.6,Wenke Lee
CS 6035,OCY,Fall 2019,Very Large (>50 students),3.03,32.6,23.9,6.1,3,6.1,25.4,Wenke Lee
CS 6035,O01,Fall 2020,Very Large (>50 students),3.38,50.5,24.6,4.3,2.2,3.2,14.6,Wenke Lee
CS 6035,OCY,Fall 2020,Very Large (>50 students),2.74,36.9,20.2,6.4,7.5,12.3,16.7,Wenke Lee
CS 6035,O01,Spring 2016,Very Large (>50 students),3.68,68.7,19.3,1.8,2,0,8.2,Wenke Lee
CS 6035,O01,Spring 2017,Very Large (>50 students),3.69,63.9,15.9,1.8,1.6,0.5,16.1,Wenke Lee
CS 6035,O01,Spring 2018,Very Large (>50 students),3.52,56.8,17.5,3.1,2.1,2.3,18.1,Wenke Lee
CS 6035,O01,Spring 2019,Very Large (>50 students),3.44,52,21.1,2.8,1.3,3.7,19.1,Wenke Lee
CS 6035,OCY,Spring 2019,Very Large (>50 students),2.96,40.4,22.2,5.6,3,10.6,18.2,Wenke Lee
CS 6035,O01,Spring 2020,Very Large (>50 students),3.38,39.4,26.9,4.6,0.5,1.9,26.6,Wenke Lee
CS 6035,OCY,Spring 2020,Very Large (>50 students),3.2,29.5,23.2,8.7,0.5,2.4,35.3,Wenke Lee
CS 6035,QSA,Spring 2020,Large (31-49 students),3.42,54.8,38.7,3.2,0,3.2,0,Wenke Lee
CS 6035,O01,Spring 2021,Very Large (>50 students),3.29,43.3,26,3.7,3.1,3.4,19.3,Wenke Lee
CS 6035,OCY,Spring 2021,Very Large (>50 students),3.01,35.1,21.6,7.7,2.4,7.2,25.5,Wenke Lee
CS 6035,O01,Summer 2016,Very Large (>50 students),3.69,67.8,22.1,3.2,0,0,6.8,Wenke Lee
CS 6035,O01,Summer 2017,Very Large (>50 students),3.61,61.6,19.4,2.4,0.3,2,14.4,Wenke Lee
CS 6035,O01,Summer 2018,Very Large (>50 students),3.52,49.4,30.9,2.5,0.2,1,16,Wenke Lee
CS 6035,O01,Summer 2019,Very Large (>50 students),3.36,39.3,31.9,4.1,0.9,1.8,21.9,Wenke Lee
CS 6035,OCY,Summer 2019,Small (10-20 students),2.7,23.5,17.6,5.9,0,11.8,41.2,Wenke Lee
CS 6035,O01,Summer 2020,Very Large (>50 students),3.49,55.6,20.8,2.6,0.8,3.6,15.6,Wenke Lee
CS 6035,OCY,Summer 2020,Large (31-49 students),2.61,25.6,18,7.7,15.4,5.1,25.6,Wenke Lee
